Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,614485,46237,19,1,19,3144,237,,,
Austria,Europe,6083118,68341,0,,0,22534,253,,,
Greece,Europe,5767352,53807,590,6,590,40058,374,2,,2
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Portugal,Europe,5671586,55086,73,1,73,29132,283,3,,3
Ukraine,Europe,5543211,12675,58,,58,109925,251,0,,0
Venezuela (Bolivarian Republic of),Americas,552729,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5410124,28301,5,,5,62871,329,0,,0
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5329836,16467,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51899,52771,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501304,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49069,2205,,,,307,14,,,
Belgium,Europe,4895384,42486,144,1,144,34339,298,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Czechia,Europe,4830708,45172,204,2,204,43808,410,0,,0
Canada,Americas,4819055,12768,,,,55282,146,,,
Thailand,South-East Asia,4814003,6897,,,,34744,50,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Honduras,Americas,472919,4775,1,,1,11114,112,0,,0
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Armenia,Europe,454267,15330,,,,8785,296,,,
Peru,Americas,4528708,13735,,,,220994,670,,,
India,South-East Asia,45044634,3264,,,,533664,39,,,
Switzerland,Europe,4478036,51742,73,1,73,14170,164,,,
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43372,73,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072930,6867,,,,102595,173,,,
Bosnia and Herzegovina,Europe,404262,12322,,,,16406,500,,,
International conveyance (American Samoa),Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Luxembourg,Europe,397547,63495,28,4,28,1000,160,,,
Togo,Africa,39540,478,,,,290,4,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
France,Europe,39037318,60021,198,,198,168162,259,,,
Guinea,Africa,38582,294,,,,468,4,,,
Germany,Europe,38437863,46218,1,,1,174979,210,,,
Isle of Man,,38008,44698,,,,116,136,,,
Brazil,Americas,37712242,17742,2095,1,2095,702731,331,7,,7
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Romania,Europe,3568842,18464,57,,57,68963,357,0,,0
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,352093,16900,,,,9991,480,,,
Brunei Darussalam,Western Pacific,350550,80130,,,,182,42,,,
Zambia,Africa,349892,1903,,,,4078,22,,,
Haiti,Americas,34785,305,0,,0,860,8,0,,0
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Denmark,Europe,3447254,59203,50,1,50,10012,172,,,
Kenya,Africa,344131,640,,,,5689,11,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,337196,11717,0,,0,3608,125,,,
Mauritius,Africa,332011,26106,,,,1074,84,,,
Mali,Africa,33183,164,,,,743,4,,,
Botswana,Africa,330699,14063,,,,2801,119,,,
Micronesia (Federated States of),Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30231,16463,0,,0,410,223,0,,0
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2774847,26868,92,1,92,28730,278,8,,8
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272226,621,,,,6881,16,,,
Italy,Europe,26967687,45216,61,,61,198388,333,2,,2
Nigeria,Africa,267197,130,,,,3155,2,,,
New Zealand,Western Pacific,2668236,55332,,,,4538,94,,,
Zimbabwe,Africa,266410,1792,,,,5740,39,,,
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2567965,37073,0,,0,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25234,457,,,,389,7,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
United Kingdom of Great Britain and Northern Ireland,Europe,25038934,36884,1238,2,1238,232112,342,,,
Russian Federation,Europe,24901467,17063,,,,404290,277,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233904,748,,,,2252,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2237993,22908,7,,7,49124,503,,,
Burkina Faso,Africa,22171,106,,,,400,2,,,
Lao People's Democratic Republic,Western Pacific,219060,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21618,55793,0,,0,89,230,0,,0
Iceland,Europe,210776,57884,4,1,4,186,51,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2051617,1246,,,,29499,18,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,202004,3114,4,,4,4230,65,,,
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
South Sudan,Africa,18868,169,,,,147,1,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
Slovakia,Europe,1885930,34554,7,,7,21282,390,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1864383,46736,,,,17151,430,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Ireland,Europe,1753694,35325,132,3,132,9787,197,,,
Uzbekistan,Europe,175082,523,,,,1016,3,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Namibia,Africa,172556,6791,,,,4110,162,,,
Ghana,Africa,172336,555,,,,1463,5,,,
Uganda,Africa,172163,376,,,,3632,8,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004713,20162,,,,101419,120,,,
Tonga,Western Pacific,16992,16076,,,,13,12,,,
Nicaragua,Americas,16301,246,3,,3,245,4,,,
Marshall Islands,Western Pacific,16297,27532,,,,17,29,,,
Dominica,Americas,16047,22290,,,,74,103,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157399,5315,2,,2,3621,122,0,,0
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Central African Republic,Africa,15443,320,,,,113,2,,,
Norway,Europe,1535968,28616,119,2,119,5732,107,,,
Kazakhstan,Europe,1504370,8012,,,,19072,102,,,
Finland,Europe,1499712,27143,,,,11466,208,,,
Northern Mariana Islands,Western Pacific,14985,26035,,,,41,71,,,
Lithuania,Europe,1424565,50985,281,10,281,9883,354,2,,2
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Cambodia,Western Pacific,139326,833,,,,3056,18,,,
Slovenia,Europe,1363162,65041,12,1,12,9914,473,,,
Croatia,Europe,1356728,33432,38,1,38,18784,463,0,,0
Bulgaria,Europe,1338398,19253,0,,0,38765,558,,,
Rwanda,Africa,133268,1029,,,,1468,11,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Cameroon,Africa,125279,472,,,,1974,7,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Guatemala,Americas,1251548,6986,,,,20203,113,,,
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Malta,Europe,123654,24031,7,1,7,1016,197,,,
Costa Rica,Americas,1236157,24266,,,,9374,184,,,
Saint Martin (French part),,12324,31879,,,,46,119,,,
Bolivia (Plurinational State of),Americas,1212171,10384,,,,22388,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113670,9832,1,,1,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Niue,Western Pacific,1092,67491,,,,0,,,,
Barbados,Americas,108841,37874,0,,0,593,206,,,
Ecuador,Americas,1080189,6122,,,,36056,204,,,
Angola,Africa,107487,327,,,,1937,6,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1045165,24223,,,,8775,203,,,
Uruguay,Americas,1042765,30019,7,,7,7694,221,0,,0
United States of America,Americas,103436829,31250,,,,1221897,369,299,,299
Eritrea,Africa,10189,287,,,,103,3,,,
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Argentina,Americas,10112059,22374,107,,107,130750,289,1,,1
Democratic Republic of the Congo,Africa,101006,113,,,,1474,2,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
